,EVTYPE,Total_Prop_Damage,Total_Crop_Damage,Total_Damage
154,UNSEASONABLY WARM,0,10,10
155,UNSEASONAL RAIN,0,10,10
156,Wind,10,0,10
157,Wind Damage,10,0,10
158,WINTRY MIX,10,0,10
159, TSTM WIND (G45),8,0,8
160,DAMAGING FREEZE,8,0,8
161,TSTM WIND (41),8,0,8
162,LANDSPOUT,7,0,7
163,WHIRLWIND,7,0,7
164,GRADIENT WIND,6,0,6
165,Unseasonable Cold,0,5.1,5.1
166,FLASH FLOOD/FLOOD,5,0,5
167,HIGH SWELLS,5,0,5
168,LANDSLIDES,5,0,5
169,Light snow,5,0,5
170,NON-SEVERE WIND DAMAGE,5,0,5
171,TSTM WIND  (G45),5,0,5
172,Whirlwind,5,0,5
173,MARINE HAIL,4,0,4
174,DAM BREAK,3,0,3
175,TIDAL FLOODING,3,0,3
176,Wintry Mix,2.5,0,2.5
177,DOWNBURST,2,0,2
178,GUSTY WIND/HVY RAIN,2,0,2
179,Gusty wind/rain,2,0,2
180,Ice jam flood (minor,1,0,1
181,RIP CURRENT,1,0,1
182,TSTM WIND 40,1,0,1
183,TSTM WIND G45,1,0,1
184,WIND AND WAVE,1,0,1
185, COASTAL FLOOD,0,0,0
186, LIGHTNING,0,0,0
187, WATERSPOUT,0,0,0
188, WIND,0,0,0
189,ABNORMAL WARMTH,0,0,0
190,ABNORMALLY DRY,0,0,0
191,ABNORMALLY WET,0,0,0
192,ACCUMULATED SNOWFALL,0,0,0
193,BEACH EROSION,0,0,0
194,BITTER WIND CHILL,0,0,0
195,BITTER WIND CHILL TEMPERATURES,0,0,0
196,Black Ice,0,0,0
197,BLACK ICE,0,0,0
198,BLOW-OUT TIDE,0,0,0
199,BLOW-OUT TIDES,0,0,0
200,Blowing Snow,0,0,0
201,BRUSH FIRE,0,0,0
202,coastal flooding,0,0,0
203,COASTAL STORM,0,0,0
204,COASTALFLOOD,0,0,0
205,COASTALSTORM,0,0,0
206,Cold and Frost,0,0,0
207,COLD AND FROST,0,0,0
208,COLD AND SNOW,0,0,0
209,Cold Temperature,0,0,0
210,COLD TEMPERATURES,0,0,0
211,COLD WEATHER,0,0,0
